source_file_symbol,date,symbol,Series,Prev Close,open,high,low,Last,close,vwap,volume,turnover,trades,deliverable_volume,deliverable_pct,company,industry,nifty_close,nifty_ret_1d,vix_close,ret_1d,ret_5d,ret_21d,ret_63d,vol_20d,vol_60d,sma20_gap,sma50_gap,ema12_26_gap,macd,rsi_14,bollinger_z,atr_14,volume_z_20,turnover_z_20,drawdown,beta_252,target_return_21d,target_up_21d,symbol_code,industry_code,forecast_return_21d,forecast_up_probability,forecast_annualized,annual_return,volatility,sharpe,sortino,max_drawdown,calmar,quality_score,raw_score,weight,profile
HCLTECH,2021-04-30,HCLTECH,EQ,909.55,905.0,915.0,895.4,900.1,898.95,904.98,10921664,988391121380000.0,465056.0,6189272.0,0.5667,HCL Technologies Ltd.,IT,14631.1,-0.017710760058812003,23.03,-0.011654114672090543,-0.05933134515774596,-0.062177246883313275,-0.051240105540897085,0.2890569255428708,0.2771466838369985,-0.08401730172558719,-0.07046552724287214,-0.018708458147214113,-18.039492862186194,17.681362257989335,-1.7961594757850263,0.03251412362041429,1.0743661123851125,0.9270545807066106,-0.6811272901406452,0.7555039316595369,,0,15,7,0.010515624904107219,0.5099382558767488,0.13374764296459585,0.9081935894714492,0.3295838746154822,2.7555765297407753,5.034206227346415,-0.15361077111383048,5.912304084447626,0.5479591836734694,0.33118283629678574,0.04161327434276299,Conservative
BAJAJ-AUTO,2021-04-30,BAJAJ-AUTO,EQ,3836.45,3805.0,3966.35,3800.0,3827.0,3833.75,3869.17,1340273,518574374275000.0,79430.0,229768.0,0.1714,Bajaj Auto Ltd.,AUTOMOBILE,14631.1,-0.017710760058812003,23.03,-0.0007037756259040684,0.043907420013614695,0.06491576505881858,-0.08040393864162432,0.3083456417931148,0.28339066539303465,0.042641203602976185,0.018766022229893098,0.006864121321111583,25.492757378126043,61.75474471212217,1.5651095988195858,0.03134007173133357,2.0869305760953973,2.121891792668068,-0.09526956070278114,0.7882919306621983,,0,3,0,0.022046086047656885,0.555437617216034,0.2991094833597805,0.5560944920241877,0.3039318339521992,1.8296684647770307,2.7076473912724692,-0.1736539664184833,3.2023137938817525,0.7846938775510204,0.31158449195857063,0.03904685879072246,Conservative
TITAN,2021-04-30,TITAN,EQ,1506.8,1500.0,1516.55,1471.0,1489.85,1491.65,1493.26,3691399,551220057930000.0,111986.0,699586.0,0.1895,Titan Company Ltd.,CONSUMER GOODS,14631.1,-0.017710760058812003,23.03,-0.01005441996283507,0.020664408635259424,-0.009429890095294935,-0.005467213388005376,0.2968687375964886,0.2893414105727547,-0.020265943297394617,0.0023155427616106117,-0.0011896877073830359,-1.7918376337561313,36.78885387294743,-0.9354005276895393,0.029238953986716533,2.536615868653839,2.383126654541253,-0.6836104865736223,0.870584429072233,,0,43,3,0.018979765944594412,0.4748025487873415,0.25310286460538767,0.5990244948276777,0.31217596218311777,1.9188680981026298,3.1753692961044124,-0.15746610999432997,3.804148682210079,0.523469387755102,0.24003655777913338,0.029677611683637434,Conservative
ICICIBANK,2021-04-30,ICICIBANK,EQ,621.45,610.1,616.35,598.1,599.7,600.5,607.02,23653258,1435800845135000.0,247055.0,7292392.0,0.3082999999999999,ICICI Bank Ltd.,FINANCIAL SERVICES,14631.1,-0.017710760058812003,23.03,-0.033711481213291594,0.05360119308711275,0.037939676778152354,0.11606727999256594,0.4279563303178288,0.44208396084772744,0.037433108887286126,0.0040848949180429805,0.007647458511115701,4.486252358938941,56.1754021795537,1.0413368013169044,0.0386582609729987,-0.44862089572561276,-0.3195579088178299,-0.665291789755309,1.690496689041552,,0,21,6,0.05215832573220886,0.4999955126139229,0.8406582143526671,0.6687508684173964,0.4212189173026481,1.5876563016206968,2.3832093245138424,-0.2343811653294754,2.8532619823667007,0.6051020408163266,0.07693401209377464,0.008319230455071651,Conservative
ASIANPAINT,2021-04-30,ASIANPAINT,EQ,2613.45,2595.0,2605.8,2524.05,2529.0,2536.4,2558.66,1384907,354351186245000.0,91934.0,750496.0,0.5418999999999999,Asian Paints Ltd.,CONSUMER GOODS,14631.1,-0.017710760058812003,23.03,-0.029482102202069926,0.007327389344506496,0.012474302935951975,0.008930169653334596,0.29133111026289393,0.30432604490414245,-0.01684492263623083,0.02293951130077132,0.008811497880070851,22.44864145441261,38.72940712242281,-0.9463145522448886,0.027358798747380987,-0.2037647435092001,-0.22170927231574478,-0.5134564846252709,0.6600695614386639,,0,1,3,0.015153652455056118,0.5205071138856369,0.1977919176819447,0.39026529269896715,0.29705875097752427,1.3137646725259913,2.238350794271928,-0.20078615800372068,1.94368624101934,0.5979591836734693,0.05575976358455477,0.0055464492578931575,Conservative
MM,2021-04-30,M&M,EQ,774.6,768.4,778.4,750.45,753.05,752.55,762.26,4466148,340437401075000.0,118997.0,2154503.0,0.4824,MM,UNKNOWN,14631.1,-0.017710760058812003,23.03,-0.028466305189775443,-0.03258773621288091,-0.05854756990054433,-0.05286010949594111,0.4418004076279026,0.4198335041645013,-0.046339740279489616,-0.08766778523489926,-0.01688427620278654,-13.448161235618272,41.1323896752706,-1.975058598242946,0.03974107083535028,-0.07940591915934597,-0.15222856287970457,-0.5164492707061621,1.1364844298212842,,0,30,13,0.00923709499574388,0.4991719017959445,0.11665356839614538,1.2400654859354083,0.39661234349821434,3.1266437020031663,5.486817474129797,-0.19054286945282228,6.508065557616912,0.46122448979591835,0.05240243633527786,0.0051068051370868625,Conservative
SBIN,2021-04-30,SBIN,EQ,359.4,353.45,362.5,350.45,352.3,353.5,357.11,53832840,1922407931330000.0,296959.0,13261927.0,0.2464,State Bank of India,FINANCIAL SERVICES,14631.1,-0.017710760058812003,23.03,-0.016416249304396113,0.050676177738148365,-0.010358342665173548,0.2582310019576437,0.4199310951452923,0.47678848652245653,0.014922373511530918,-0.047257124683991236,-0.009404997601981435,-3.3194670794535455,48.928571428571416,0.4249236951750851,0.03862396443726004,0.5406550252585162,0.713828228700127,-0.8987091505608963,1.4847710254205735,,0,36,6,0.03540755994487864,0.5112610561131281,0.5182244440980834,0.9180683667932743,0.4141028888509666,2.2170054629193428,3.604186563256422,-0.21569935512563954,4.25624066543232,0.673469387755102,0.024578946904751264,0.0014633016474935464,Conservative
POWERGRID,2021-04-30,POWERGRID,EQ,220.15,217.75,222.3,216.65,220.35,220.05,220.24,9504624,209332798050000.0,56225.0,4634594.0,0.4876,Power Grid Corporation of India Ltd.,ENERGY,14631.1,-0.017710760058812003,23.03,-0.0004542357483533488,0.04215013023916647,0.025396085740913454,0.15694006309148278,0.3429904274251274,0.3880752557624188,0.04137335399831987,0.008353686757367473,0.0022773669886564374,0.4870962890665851,61.47455867082037,1.3987162562088484,0.029051838867789788,-0.19545105737041382,-0.08804128115728432,-0.06955602536997885,0.7589134785002046,,0,34,4,0.02047683056964555,0.5098668608688511,0.27537466218673634,0.39980916030534486,0.31567816102137947,1.266508772769579,2.1847240271206205,-0.1763617133791645,2.2669838744749833,0.6173469387755102,0.02340449406313938,0.0013095063071405556,Conservative
GRASIM,2021-04-30,GRASIM,EQ,1350.7,1342.0,1407.4,1333.0,1401.1,1401.75,1386.13,3261678,452111640235000.06,87943.0,1445017.0,0.443,Grasim Industries Ltd.,CEMENT & CEMENT PRODUCTS,14631.1,-0.017710760058812003,23.03,0.037795217294736005,0.09674516860965499,-0.0027390438247011373,0.31035288618836177,0.3161980193543473,0.3255525609758651,0.01898766383402517,0.042254526474045706,-0.0026564264328823306,-3.5990811887304517,43.403523850451236,0.4365625545993343,0.03652322352161842,2.0728756946041056,2.2407092009395235,-0.7348234047785702,0.9484829459046802,,0,14,1,0.04626098672936645,0.5209708045487781,0.7206018215286163,1.817871142828427,0.33176879972518375,5.4793312220264125,9.170959401401568,-0.12127878996218666,14.989192614761564,0.8336734693877551,2.247244496027715,0.16,Balanced
ULTRACEMCO,2021-04-30,ULTRACEMCO,EQ,6382.45,6380.0,6424.0,6233.55,6253.1,6278.95,6340.57,475175,301287841790000.0,38753.0,192320.0,0.4047,UltraTech Cement Ltd.,CEMENT & CEMENT PRODUCTS,14631.1,-0.017710760058812003,23.03,-0.016216343253766197,0.03478139059641716,-0.06774804201774254,0.16961292005066686,0.3721686737419598,0.3723555078115602,-0.038375317643824625,-0.039989297454323114,-0.013527812868850408,-87.49139574785659,31.42274459292652,-0.9226670667154301,0.03820873144167644,-0.534006016936076,-0.6081753283078316,-0.09930787161556398,0.9561666360460086,,0,44,1,0.01399398533857274,0.5290737758485228,0.18147502896221845,0.8500147318797877,0.31290553625096407,2.7165218681143384,4.2618252392996085,-0.12958221265913583,6.55965594688323,0.6693877551020408,0.7974780021976762,0.0739772161518762,Balanced
