date,source_file_symbol,company,industry,close,ret_1d,volume_z_20,abs_return_z,drawdown,volume_anomaly,volatility_anomaly,drawdown_anomaly
2021-04-30,COALINDIA,Coal India Ltd.,METALS,133.05,0.039047247169074595,3.693879094276784,1.4650442766097653,-0.6999323410013532,True,False,False
2021-04-30,ONGC,Oil & Natural Gas Corporation Ltd.,ENERGY,108.15,0.03940413262854414,3.8663246822503283,0.9552746332013222,-0.9271324619323541,True,False,False
2021-04-30,IOC,Indian Oil Corporation Ltd.,ENERGY,90.85,0.021934758155230494,3.129970317557382,0.4672433080681797,-0.8857160827725015,True,False,False
2021-04-29,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCIAL SERVICES,11176.55,0.06551914808423831,3.2904539600236653,2.2010275578815066,0.0,True,False,False
2021-04-29,JSWSTEEL,JSW Steel Ltd.,METALS,726.5,0.09635554214140196,1.8760366392614554,3.4587317566864133,-0.6099433572253095,False,True,False
2021-04-28,BAJFINANCE,Bajaj Finance Ltd.,FINANCIAL SERVICES,5280.9,0.08547702490210773,3.7187234812820154,3.5147164910929236,-0.5364907445603995,True,True,False
2021-04-28,EICHERMOT,Eicher Motors Ltd.,AUTOMOBILE,2521.2,0.05045623099037533,2.0190847814079267,3.003633932892569,-0.9232790506954092,False,True,False
2021-04-28,AXISBANK,Axis Bank Ltd.,FINANCIAL SERVICES,708.15,0.012293617325423556,3.062578028826943,-0.4630552579550335,-0.650011120171992,True,False,False
2021-04-27,AXISBANK,Axis Bank Ltd.,FINANCIAL SERVICES,699.55,-0.0012848882861019595,3.658859301228502,-1.135779331893156,-0.6542614970222651,True,False,False
2021-04-26,ICICIBANK,ICICI Bank Ltd.,FINANCIAL SERVICES,591.1,0.037108518291078196,3.5803094856672155,0.8790988709936616,-0.6705311855526448,True,False,False
2021-04-26,HCLTECH,HCL Technologies Ltd.,IT,928.8,-0.02809606027311251,3.7027277734550057,1.2522561889573736,-0.6705389922494369,True,False,False
2021-04-23,BPCL,Bharat Petroleum Corporation Ltd.,ENERGY,423.05,0.011234612166845848,3.6340690658131836,-0.3769563022462946,-0.6267096091061501,True,False,False
2021-04-22,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT & CEMENT PRODUCTS,6092.3,-0.017505664545989674,3.3706707278833177,-0.01176708413317854,-0.12608212300519994,True,False,False
2021-04-20,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT & CEMENT PRODUCTS,6200.85,-0.04745189907446512,3.2739307090413607,1.890405204799238,-0.11051102743410435,True,False,False
2021-04-20,HDFC,Housing Development Finance Corporation Ltd.,FINANCIAL SERVICES,2415.9,-0.030673862017774334,3.0423239447793637,0.8385929445463203,-0.24031885288429788,True,False,False
